build_suez_canal_desc;Um dos problemas de longa data para o transporte nos negócios do Extremo Oriente e da Índia sempre foi a necessidade de contornar o Cabo Africano para chegar lá. Ao estabelecer um canal através do Suez, vamos encurtar a jornada para a Ásia em dias, bem como realizar uma proeza maravilhosa de engenharia moderna.;Les routes commerciales entre l'Extrême-Orient et l'Inde ont toujours été handicapées par la nécessité de contourner le Cap. En construisant le canal de Suez, nous raccourcirons de plusieurs jours les voyages à destination de l'Asie et réaliserons par là même une belle prouesse d'ingénierie moderne.;Die Notwendigkeit der Umschiffung der Südspitze Afrikas ist eines der ältesten Probleme für den Schiffsverkehr nach Fernost und Indien. Durch den Bau eines Kanals durch den Isthmus von Suez könnten wir die Fahrzeit nach Asien um mehrere Tage verkürzen und zudem eine glanzvolle Ingenieursleistung vollbringen.;;Uno de los antiguos problemas para el comercio naval en el Extremo Oriente y la India ha sido siempre la necesidad de tener que rodear el Cabo de Buena Esperanza para poder llegar allí. Estableciendo un canal a través de Suez, reduciremos el viaje hasta Asia en varios días, además de llevar a cabo una maravillosa proeza de ingeniería moderna.;;;;;;;;;x;
build_panama_canal_title;Construa o Canal do Panamá;Construire le canal de Panama;Panamakanal bauen;;Construir el Canal de Panamá;;;;;;;;;x;
build_panama_canal_desc;A proposta de construção de um canal através do Istmo do Panamá provavelmente remonta à primeira descoberta da área. É o lugar onde a faixa de terra que une os continentes da América do Norte e do Sul é mais fina e, com a ajuda da engenharia moderna, podemos reduzir a duração da viagem entre o Atlântico e o Pacífico por vários dias.;Les propositions de construction d'un canal à travers le détroit de Panama remontent probablement à la première découverte de la région. Nulle part ailleurs une bande de terre reliant les continents nord et sud américains n'est aussi étroite qu'à cet endroit et, grâce à l'ingénierie moderne, nous pourrions raccourcir de plusieurs jours les voyages entre les océans Atlantique et Pacifique.;Die Vorschläge für den Bau eines Kanals durch den Isthmus von Panama reichen wahrscheinlich bis zur Entdeckung des Gebiets zurück. Nirgendwo ist die Landverbindung zwischen dem nord- und südamerikanischen Kontinent dünner als hier, und durch den Einsatz modernen Ingenieurswissen könnten wir die Fahrzeit vom Atlantik in den Pazifik um mehrere Tage reduzieren.;;Las propuestas de construcción de un canal a través del Istmo de Panamá probablemente se remonten al primer descubrimiento del área. Se trata del lugar donde la franja de tierra que une los continentes del norte y el sur de América es más fina y, con la ayuda de la ingeniería moderna, podemos recortar en varios días la duración del viaje entre el Atlántico y el Pacífico.;;;;;;;;;x;
REVANCHISM_LOWER;Revanchismo menor que §Y$VAL$§W.\n;Revanchisme inférieur à §Y$VAL$§W.\n;Revanchismus ist geringer als §Y$VAL$§W.\n;;Revanchismo por debajo de §Y$VAL$§W.\n;;;;;;;;;x;
REVANSCHISM_ATLEAST;Revanchismo é pelo menos de §Y$VAL$§W.\n;Le revanchisme est d'au moins §Y$VAL$§W.\n;Revanchismus ist mindestens §Y$VAL$§W.\n;;El revanchismo está al menos a §Y$VAL$§W.\n;;;;;;;;;x;
CANAL_1;Canal de Kiel;Canal de Kiel;Nord-Ostsee-Kanal;;Canal de Kiel;;;;;;;;;x;
CANAL_2;canal de Suez;Canal de Suez;Suezkanal;;Canal de Suez;;;;;;;;;x;
CANAL_3;Canal do Panamá;Canal de Panama ;Panamakanal;;Canal de Panamá;;;;;;;;;x;
ENABLE_CANAL;Construa o §Y$NAME$§W!\n;Construire §Y$NAME$§W !\n;§Y$NAME$§W bauen!\n;;¡Construir el §Y$NAME$§W!\n;;;;;;;;;x;
CANAL_NOT_ENABLED;O §Y$NAME$§W NÃO foi construído.;§Y$NAME$§W n'a PAS été construit.;Der §Y$NAME$§W wurde NICHT gebaut.;;El §Y$NAME$§W NO se ha construido.;;;;;;;;;x;
CANAL_ENABLED;§Y$NAME$§W já existe!;§Y$NAME$§W existe !;§Y$NAME$§W existiert bereits!;;¡El §Y$NAME$§W ya existe!;;;;;;;;;x;
ADMINISTRATIVE_TAX_EFFICIENCY;Eficiência Fiscal Admin.: §Y$VALUE$§W%.;Efficacité fiscale administrative : §Y$VALUE$§W%.;Verwaltungseffizienz: §Y$VALUE$§W%.;;Eficacia de los impuestos administrativos: §Y$VALUE$§W%.;;;;;;;;;x;
AVG_MIL_ON_MAP;Militância Média: §Y$VALUE$§W;Militantisme moyen : §Y$VALUE$§W;Durchschnittliche Militanz: §Y$VALUE$§W;;Media de militancia: §Y$VALUE$§W;;;;;;;;;x;
POP_PRODUCED;Produzido: §Y$VAL$§W;Biens produits : §Y$VAL$§W;Produziert: §Y$VAL$§W;;Producido: §Y$VAL$§W;;;;;;;;;x;
POP_SOLD;Vendido: §Y$VAL$§W;Biens vendus : §Y$VAL$§W;Verkauft: §Y$VAL$§W;;Vendido: §Y$VAL$§W;;;;;;;;;x;
POP_SOLD_DOMESTIC;Vendido(Interno): §Y$VAL$§W;Biens vendus (au niveau national) : §Y$VAL$§W;Verkauft (national): §Y$VAL$§W;;Vendido (interior): §Y$VAL$§W;;;;;;;;;x;
POP_SOLD_EXPORT;Vendido(Export.): §Y$VAL$§W;Biens vendus (exportation) : §Y$VAL$§W;Verkauft (Export): §Y$VAL$§W;;Vendido (exportación): §Y$VAL$§W;;;;;;;;;x;
POP_WANT_BOUGHT;Comprado: §Y$VAL$§W;Biens achetés : §Y$VAL$§W;Gekauft: §Y$VAL$§W;;Comprado: §Y$VAL$§W;;;;;;;;;x;
POP_WANT_BUY;Desejado: §Y$VAL$§W;Biens souhaités : §Y$VAL$§W;Gewünscht: §Y$VAL$§W;;Se necesita: §Y$VAL$§W;;;;;;;;;x;
POP_WANT_AFFORD;Permitido: §Y$VAL$§W;Biens accordés : §Y$VAL$§W;Finanzierbar: §Y$VAL$§W;;Permitido: §Y$VAL$§W;;;;;;;;;x;
POP_PRODUCER_MARKET;Este produtor;Ce producteur;Dieser Produzent;;Este productor;;;;;;;;;x;
POP_WORLD_MARKET;§YMercado Mundial§W;§YMarché mondial§W;§YWeltmarkt§W;;§YMercado mundial§W;;;;;;;;;x;
OR_TRIG_SHORT;Qualquer um..;Ou...;Entweder ...;;Cualquiera...;;;;;;;;;x;
GENERAL;General;Général;General;;General;;;;;;;;;x;
ADMIRAL;Almirante;Amiral;Admiral;;Almirante;;;;;;;;;x;
CURR_COMB_STR;Força atual em;Force actuelle à ;Momentane Stärke bei;;Fuerza actual:;;;;;;;;;x;
CURR_COMB_ORG;Organização em;Organisation à ;Organisation bei;;Organización:;;;;;;;;;x;
UW_ASSIGN;Atribuição automática;Attribution auto.;Autom. Zuteilung;;Asignar auto.;;;;;;;;;x;
RANK_PRESTIGE;Prestígio;Prestige;Prestige;;Prestigio;;;;;;;;;x;
RANK_PRESTIGE_D;O desenvolvimento cultural, bem como os resultados do seu país, permitem-lhe melhorar o seu prestígio.;Le développement culturel ainsi que les résultats de votre pays vous permettent d'améliorer votre prestige.;Prestige wird durch kulturelle Entwicklungen und generelle Fortschritte Ihres Landes angesammelt.;;El prestigio se acumula con el desarrollo cultural y gestionando bien tu país.;;;;;;;;;x;
RANK_INDUSTRY;Pontos Industriais;Puissance industrielle;Industriestärke;;Potencia industrial;;;;;;;;;x;
RANK_INDUSTRY_D;A pontuação industrial mede seu nível de industrialização. Combina o número de fábricas e o valor total de produção do seu país.;Le score industriel permet de mesurer votre niveau d'industrialisation. Il combine le nombre d'usine ainsi que la valeur de production totale de votre pays.;Der Industriewert misst, wie hoch Ihre Industrialisierungsstufe ist. Er ist eine Kombination aus der Anzahl Ihrer Fabriken und dem Gesamtwert der Industrieleistung Ihres Landes.;;La puntuación industrial mide tu nivel de industrialización. Es una combinación del número de fábricas y el valor total de los bienes de tu país.;;;;;;;;;x;
RANK_MILITARY;Pontos Militares;Puissance militaire;Militärstärke;;Potencia militar;;;;;;;;;x;
RANK_MILITARY_D;A pontuação militar mede o poder do seu exército em termos de tamanho e equipamento.;Le score militaire permet de mesurer la puissance de votre armée en termes de taille et d'équipement.;Der Militärwert misst die Stärke Ihrer Streitkräfte. Dabei werden sowohl Mannstärke als auch Ausrüstung in Betracht gezogen.;;La puntuación militar mide la potencia de tu ejército en función de su tamaño y equipo.;;;;;;;;;x;
RANK_TOTAL_D;The eight countries with the highest rank are §YGreat Powers§W who have the ability to influence and control lesser nations. The next eight are §YSecondary Powers§W who have the ability to colonize, and will challenge the great powers at times. The final two ranks are §Ycivilized§W and §Yuncivilized§W nations, who are rated depending if they are westernized or not.;Les huit nations les plus influentes sont considérées comme étant des §YGrandes Puissances§W et peuvent influencer et contrôler les autres nations. Les huit nations suivantes sont désignées comme étant des §YPuissances Secondaires§W et peuvent coloniser et parfois défier les Grandes Puissances. Les dernières correspondent aux nations §Ycivilisées§W et §Ynon civilisées§W, et sont classées selon qu'elles sont occidentalisées ou non.;Die acht ranghöchsten Länder sind §YGroßmächte§W, denen es möglich ist, weniger gut entwickelte Länder zu beeinflussen und zu kontrollieren. Die Plätze neun bis sechszehn belegen die §YMächte zweiten Ranges§W, die ebenfalls Kolonien gründen können, und die Großmächte früher oder später herausfordern werden. Das Spiel unterscheidet außerdem zwischen §Yzivilisierten§W und §Yunzivilisierten§W Nationen - also ob ein Land verwestlicht ist oder nicht.;;Los ocho países con mayor rango son §Ygrandes potencias§W, que tienen la habilidad para influenciar y controlar a las naciones menores. Los ocho siguientes son §Ypotencias secundarias§W, que tienen la habilidad de colonizar y pueden desafiar a las grandes potencias en ocasiones. Los dos últimos apartados son naciones §Ycivilizadas§W y §Ysin civilizar§W, que se valoran dependiendo de su nivel de occidentalización.;;;;;;;;;x;
TYPE_SPECIAL;Outros;Unités d'appui;Andere;;Otros;;;;;;;;;x;
COVIEW_ORG_VALUE;Nível atual de organização;Niveau actuel d'organisation;Aktuelle Organisationsstufe;;Nivel actual de organización;;;;;;;;;x;
COVIEW_STR_NAVAL;A quantidade de navios nessa frota.;Nombre de navire de cette flotte.;Die Anzahl der Schiffe in dieser Flotte.;;La cantidad de barcos de esta flota.;;;;;;;;;x;
COVIEW_STR_LAND;Quantidade de homens lutando neste lado.;Nombre d'hommes se battant dans ce camp.;Anzahl der Soldaten, die auf dieser Seite kämpfen.;;La cantidad de hombres que lucha en este bando.;;;;;;;;;x;
MAY_NOT_RETREAT;Não é possível, nem seria honroso, retirar-se de uma batalha que acaba de começar.;Il n'est pas possible, question d'honneur, de se retirer d'une bataille qui débute.;Es ist nicht möglich und wäre auch nicht ehrenhaft, sich aus einer Schlacht zurückzuziehen, die gerade erst beginnt.;;No es posible, ni sería honorable, retirarse de una batalla que no ha hecho más que empezar.;;;;;;;;;x;
COMBAT_DICE;Die roll for this side in this phase.;tirage pour ce camp dans cette phase;Würfeln für diese Seite in dieser Phase.;Wydarzenia losowe dla tej strony w tej fazie walki.;Modo de mapa comercial;Lancio di dadi per questo campo in questa fase.;Kockadobás ebben a szakaszban, ennek az oldalnak.;Hod kostkou pro tuto stranu v této fázi.;;;;;;x;
COMBAT_TERRAIN;Penalidade de terreno no atacante.;Pénalité du terrain sur l'attaquant.;Terrain-Strafe für Angreifer.;Kara terenu dla atakuj¹cego.;El modificador relativo del valor de Choque del líder al mando comparado con el del líder rival.;Penalità di terreno sull'attaccante.;Terepbüntetés a támadóra;Terénní postih útoèníka.;;;;;;x;
COMBAT_CROSSING;Travessias de rios ou desembarque em uma praia dá uma penalidade para o atacante.;Pénalité de traversée d'un fleuve ou de débarquement sur l'attaquant.;Strafe für Angreifer: Flussüberschreitung oder Strandlandung.;Przekroczenie rzeki lub l¹dowanie na pla¿y powoduje karê terenu dla atakuj¹cego.;El modificador relativo del valor de Disparo del líder al mando comparado con el del líder rival.;Penalità di traversata di un fiume o di sbarco sull'attaccante;A támadót sújtó folyami átkelési és partraszállási büntetés.;Postih útoèníka zpùsobený pøechodem øeky èi vylodìním.;;;;;;x;
COMBAT_DIGIN;Penalidade para o atacante porque o defensor está entrincheirado.;Pénalité sur l'attaquant en raison du retranchement du défenseur.;Strafe für Angreifer: Verteidiger eingegraben.;;Penalización al atacante debida a que el defensor está atrincherado.;;;;;;;;;x;
PRODUCTION_COST_BUILD;Custo de construção: §Y$VAL$§W;Coût de construction : §Y$VAL$§W¤;Baukosten: §Y$VAL$§W;;Coste de construcción: §Y$VAL$§W;;;;;;;;;x;
PRODUCTION_COST_INPUT;Custo de Entradas: §Y$VAL$§W;Coût des matières premières : §Y$VAL$§W¤;Input-Kosten: §Y$VAL$§W;;Coste de entrada: §Y$VAL$§W;;;;;;;;;x;
PRODUCTION_NO_PROJECT;Nenhum projeto;Aucun projet;Kein Projekt;;Ningún proyecto;;;;;;;;;x;
PRODUCTION_PROJECT_MONEY;Projeto tem §Y$MONEY$§W¤ de §Y$NEED$§W¤ necessário.;Le projet dispose de §Y$MONEY$§W¤sur les §Y$NEED$§W¤nécessaires.;Projekt hat §Y$MONEY$§W¤, benötigt wird §Y$NEED$§W¤.;;El proyecto se ha quedado sin §Y$MONEY$§W¤ de los §Y$NEED$§W¤ que necesitaba.;;;;;;;;;x;
WAR_HAS_COMPLETE_VICTORY;Vitória Completa;Victoire totale;Vollständiger Sieg;;Victoria completa;;;;;;;;;x;
DIPLOMACY_CAN_INTERVENE;Intervir na Guerra;§YIntervention dans la guerre§W;Kriegsintervention;;Intervenir en guerra;;;;;;;;;x;
DIPLOMACY_CANNOT_INTERVENE;Intervir na Guerra\nNão podemos nos juntar a este lado porque:;§YIntervention dans cette guerre§W\nPas possible de rejoindre ce camp parce que :;Kriegsintervention\nWir können dieser Seite nicht beitreten. Grund:;;Intervenir en guerra\nNo podemos unirnos a este bando porque:;;;;;;;;;x;
DIPLOMACY_OPINION_INFLUENCE;Opinião de §Y$GP$§W: §Y$OPINION$§W;Opinion de §Y$GP$§W : §Y$OPINION$§W;Meinung von §Y$GP$§W: §Y$OPINION$§W;;Opinión de §Y$GP$§W: §Y$OPINION$§W;;;;;;;;;x;
DIPLOMACY_OPINION_INFLUENCE2;Influência §Y$GP_ADJ$§W: §Y$VALUE$§W;Influence §Y$GP_ADJ$§W : §Y$VALUE$§W;§Y$GP_ADJ$§W Einfluss: §Y$VALUE$§W;;Influencia §Y$GP_ADJ$§W: §Y$VALUE$§W;;;;;;;;;x;
DIPLOMACY_SET_PRIO_DESC;Influência representa a força de uma §YGreat Power§W's dentro de outro país.;L'influence représente la puissance d'une §Ygrande nation§W dans un pays.;Einfluss repräsentiert den Einfluss einer §YGroßmacht§W in einem Land.;;La influencia representa el peso de una §Ygran potencia§W en el interior de otro país.;;;;;;;;;x;
DIPLOMACY_PRIMARYCULTURE_DESC;A cultura primária representa pessoas que são cidadãos de primeira classe em nosso país;La culture principale correspond aux citoyens de première classe de notre pays.;Die Primärkultur repräsentiert den Teil unserer Bevölkerung, die als Bürger erster Klasse gelten.;;La cultura principal representa a los ciudadanos de primera clase de nuestro país.;;;;;;;;;x;
DIPLOMACY_ACCEPTEDCULTURE_DESC;As culturas aceitas correspondem às pessoas toleradas em nosso país.;Les cultures acceptées correspondent aux personnes tolérées dans notre pays.;Unsere akzeptierten Kulturen sind Volksgruppen, die in unserem Land akzeptiert werden.;;Nuestra cultura o culturas aceptadas son la gente que toleramos en nuestro país.;;;;;;;;;x;
PROJECT_BUILD;Construir;Créer;Bauen;;Construir;;;;;;;;;x;
PROJECT_REOPEN;Reabrir;Rouvrir;Wiedereröffnen;;Reanudar;;;;;;;;;x;
PROJECT_EXPAND;Expandir;Agrandir;Ausbauen;;Ampliar;;;;;;;;;x;
EVTNAME22500;Afundando da Bolsa de Valores!;Krach boursier !;Börsencrash!;;¡Hundimiento de la bolsa!;;;;;;;;;x;
EVTDESC22500;"Hoje foi um dia triste para $COUNTRY$, quando o distrito financeiro de $CAPITAL$ balança por causa de uma repentina bolha especulativa. Os preços dos imóveis dispararam no último ano e meio e, embora alguns analistas há muito alertassem que os preços haviam sido inflacionados artificialmente devido aos efeitos da inflação sobre o consumo, os especuladores do mercado de ações ignoraram os avisos. Nos círculos do governo, estão sendo ouvidos os apelos pelo aumento dos regulamentos bancários e monetários, exigindo o fim do que eles chamam de ""as falhas do capitalismo competitivo"".";"Terrible journée aujourd'hui pour $COUNTRY$ alors que le quartier financier de $CAPITAL$ a été secoué par un accès de spéculations. Les prix de l'immobilier se sont envolés depuis un an et demi et alors que plusieurs analystes préviennent, depuis quelques temps déjà, que les prix ont été artificiellement gonflés en raison des effets inflationnaire de la consommation, les matadors de la spéculation n'ont pas tenu compte de ces avertissements. Dans les cercles gouvernementaux, des voix s'élèvent pour réclamer des régulations en matière de banque et de devise et mettre fin à ce qu'elles appellent ""les échecs de jungle du capitalisme"".";Heute war ein schwarzer Tag für $COUNTRY$: Die Finanzkreise von $CAPITAL$ taumeln unter dem Schock einer geplatzten Spekulationsblase. Die Immobilienpreise sind die letzten eineinhalb Jahre in die Höhe geschossen, und obwohl einige Analytiker schon seit einiger Zeit gewarnt haben, dass die Preise aufgrund der Effekten inflationären Überkonsums seit einiger Zeit künstlich hoch getrieben wurden, hat dies die Matadore auf dem Bullenmarkt kalt gelassen. In Regierungskreisen werden Forderungen nach besseren Bank- und Währungskontrollmaßnahmen laut, und man fordert, dem Kapitalismus, bei dem jeder gegen jeden kämpft, ein Ende zu setzen.;;Hoy ha sido un día triste para $COUNTRY$, ya que el distrito financiero de $CAPITAL$ se tambalea a causa de una burbuja especulativa repentina. Los precios de los bienes inmuebles se han disparado en el último año y medio y, aunque algunos analistas llevaban advirtiendo desde hacía tiempo que los precios se habían inflado artificialmente debido a los efectos de la inflación sobre el consumo, los especuladores del mercado accionario al alza desoyeron los avisos. En círculos gubernamentales, las súplicas por el incremento de las regulaciones de la banca y la moneda están siendo oídas, exigiendo el fin de lo que denominan 'los fracasos del capitalismo competitivo'.;;;;;;;;;x;
EVTOPTA22500;Regular! Imposto! Banimento! Pânico!;Régulation ! Taxation ! Interdiction ! Panique !;Regulierung! Besteuern! Verbannen! Aaah - Panik!;;¡Regulemos! ¡Gravemos! ¡Prohibamos! ¡Huyamos!;;;;;;;;;x;
EVTOPTB22500;Orçamento do governo equilibrado, desregulamentação e uma moeda sólida.;Budget gouvernemental équilibré, dérégulation et argent sain.;Ausgewogener Staatshaushalt, Deregulierung und stimmige Geldwirtschaft.;;Presupuesto equilibrado del gobierno, liberalización y una moneda sólida.;;;;;;;;;x;
stock_market_crash;Queda do Mercado de Ações;Krach boursier;Börsencrash;;El hundimiento de la bolsa;;;;;;;;;x;
stock_market_crash_desc;Nosso país está sentindo os efeitos de um crash no mercado de ações.;Notre pays ressent les effets d'un krach boursier.;Unser Land leidet unter den Auswirkungen eines Börsencrashs.;;Nuestro país está sufriendo los efectos del hundimiento de la bolsa.;;;;;;;;;x;
great_depression;Grande Depressão;Grande dépression;Große Depression;;Gran Depresión;;;;;;;;;x;
great_depression;Um crash do mercado de ações em uma das grandes potências causou uma grande depressão, cujos efeitos estão sendo sentidos em todo o mundo civilizado.;Le krach boursier d'une des Grandes Puissances a entraîné une grande dépression dont les effets se font ressentir dans tout le monde civilisé.;Ein Börsencrash in einer der Großmächte hat zu einer Großen Depression geführt, deren Auswirkungen auf der ganzen Welt gespürt werden.;;El hundimiento de la bolsa nacional de uno de los grandes poderes ha causado una gran depresión, cuyos efectos se perciben en todo el mundo civilizado.;;;;;;;;;x;
EVTNAME22510;A Grande Depressão;La Grande Dépression;Die Große Depression;;La Gran Depresión;;;;;;;;;x;
EVTDESC22510;Um grande crash no mercado acionário de $CAPITAL$ transformou-se em algo muito pior, após corridas bancárias maciças desencadeadas pela queda da confiança do poupador no setor bancário. À medida que as pessoas se esforçam para garantir suas economias, mais e mais bancos e instituições de crédito falham, desencadeando efeitos dominó que afetam todo o setor financeiro dos $COUNTRY_ADJ$. As ondulações do acidente logo se espalharam para outros setores da indústria privada, à medida que os empréstimos estão inadimplentes e a poupança desaparece aparentemente no ar. O desemprego generalizado, causado por setores inteiros da indústria que falham quase da noite para o dia, logo se segue. Com o entrelaçamento das economias do mundo ocidental, a crise se espalha rapidamente para outros países, e os efeitos do acidente agora reverberam em todo o mundo, no que será conhecido pela posteridade como: A Grande Depressão de $YEAR$.;Un important krach de la bourse de $CAPITAL$ a dégénéré à la suite d'un affolement des banques déclenché par une perte de confiance des épargnants dans le secteur bancaire. Alors que chacun s'efforce de préserver ses économies, de plus en plus de banques et d'organismes financiers font faillite entraînant un effet de domino qui affecte tout le secteur financier de $COUNTRY_ADJ$. Les effets de ce krach n'ont pas tardé à se propager à tous les secteurs de l'industrie privée, les prêts étant suspendus et les économies se volatilisant. Une vague de chômage, causée par la faillite de secteurs entiers de l'industrie du jour au lendemain, n'a pas tardé à suivre. Compte tenu de l'imbrication des économies du monde occidental, la crise a rapidement gagné les autres pays et les effets du krach se font désormais sentir partout dans le monde au cours de cette période qui entrera dans l'histoire sous le nom de la Grande Dépression de $YEAR$.;Ein großer Crash an der Börse von $CAPITAL$ hat sich zu etwas viel Schlimmerem entwickelt: Das Vertrauen der Sparer in das Bankensystem ist erschüttert, es kommt zu massenhaften Abhebungen. Während die Bevölkerung versucht, ihre Ersparnisse zu retten, brechen immer mehr Banken und Kreditinstitute zusammen. Dies erzeugt Dominoeffekte, die den gesamten $COUNTRY_ADJ$ Finanzsektor betreffen. Die Auswirkungen des Börsencrashs weiten sich schon bald auf andere Sektoren der Privatwirtschaft aus, da Darlehen nicht mehr zurückgezahlt werden können und Ersparnisse sich förmlich in Luft auflösen. Fast über Nacht folgt weit verbreitete Arbeitslosigkeit, verursacht durch den Zusammenbruch ganzer Industriezweige. Aufgrund der Verflechtung der Wirtschaften der westlichen Welt breitet sich die Krise schnell auf andere Länder aus, und die Effekte des Börsencrashs sind nun auf der ganzen Welt zu spüren. Dies wird der Nachwelt bekannt als: Die Große Depression des Jahres $YEAR$.;;Una gran caída del $CAPITAL$ de la bolsa ha degenerado en algo mucho peor, tras el pánico bancario provocado por la caída en picado de la confianza del ahorrador en el sector bancario. Como la gente a duras penas logra asegurar sus ahorros, cada vez son más los bancos e instituciones de créditos que se hunden, provocando un efecto dominó que afectan a todo el sector financiero de $COUNTRY$. Las repercusiones producto de la caída se extienden rápidamente a otros sectores de la industria privada, mientras los préstamos se incumplen y los ahorros se desvanecen en el aire. Pronto llegará el desempleo, provocado por el hundimiento de sectores enteros de la industria de la noche a la mañana. Con la interdependencia de las economías del mundo occidental, la crisis se extiende rápidamente a otros países, y los efectos del hundimiento de la bolsa repercuten en todo el mundo, en lo que en la posteridad se conocerá como: La gran Depresión de $YEAR$.;;;;;;;;;x;
